experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_phase,fine_tuning_epochs,fine_tuning_learning_rate,fine_tuning_time_s,fine_tuning_early_stopping,fine_tuning_patience,fine_tuning_min_improvement,fine_tuning_monitor,fine_tuning_best_epoch,fine_tuning_stopped_early,fine_tuning_last_val_loss,fine_tuning_last_val_accuracy,total_parameters,compression_ratio,compression_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,baseline,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,9756426,1.0,0.0,0.1539,7.8173,215.32,92.79,92.7973,92.79,92.784
TT rank 082 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",82,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,2415411,4.0392,1.8123,0.0011,43.3659,221.54,86.87,88.6979,86.87,87.1546
TT rank 082 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",82,True,fine_tuned,4,0.0001,364.2083,True,1,0.5,val_accuracy,2,1,0.108995,96.4062,2415411,4.0392,1.97,0.0011,34.0365,234.5,88.87,89.0194,88.87,88.882
TT rank 094 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",94,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,2689587,3.6275,2.0042,0.0011,37.5569,234.83,88.93,89.831,88.93,89.0704
TT rank 094 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",94,True,fine_tuned,4,0.0001,367.893,True,1,0.5,val_accuracy,2,1,0.102311,96.7969,2689587,3.6275,1.9103,0.0011,35.6004,223.57,89.5,89.5805,89.5,89.5107
TT rank 107 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",107,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,2986611,3.2667,1.8579,0.0011,38.4072,233.23,89.96,90.4446,89.96,90.0416
TT rank 107 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",107,True,fine_tuned,4,0.0001,249.5788,True,1,0.5,val_accuracy,1,1,0.111474,96.8359,2986611,3.2667,1.8883,0.0011,38.7449,228.93,88.74,89.0124,88.74,88.7067
TT rank 122 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",122,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,3329331,2.9304,1.812,0.0011,44.8554,235.49,90.67,90.9755,90.67,90.7248
TT rank 122 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",122,True,fine_tuned,4,0.0001,256.4931,True,1,0.5,val_accuracy,1,1,0.073677,97.8906,3329331,2.9304,1.8925,0.0011,53.8539,193.64,87.97,88.3731,87.97,87.9356
TT rank 139 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",139,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,3710003,2.6298,1.8732,0.0011,43.9678,219.02,91.4,91.6313,91.4,91.4492
TT rank 139 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",139,True,fine_tuned,4,0.0001,252.141,True,1,0.5,val_accuracy,1,1,0.069083,97.5781,3710003,2.6298,1.8478,0.0011,47.582,226.11,88.87,89.1393,88.87,88.8941
TT rank 159 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",159,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,4152883,2.3493,1.8859,0.0011,46.268,233.1,91.72,91.8572,91.72,91.7465
TT rank 159 | ft [fine_tuned],TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",159,True,fine_tuned,4,0.0001,256.9316,True,1,0.5,val_accuracy,1,1,0.105342,97.1094,4152883,2.3493,1.843,0.0011,47.4374,221.67,88.23,88.5106,88.23,88.25
TT rank 181 | no_ft,TT,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",181,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,4640051,2.1027,1.9742,0.0011,54.9615,232.57,92.21,92.3168,92.21,92.23
