experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,9756426,1.0,0.0,37.2389,128.3779,1.4543,0.1539,2.4954,14594.35,92.14,92.2106,92.14,92.1492
SVD rank 0002 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,False,0.0,60308,161.7766,1.8775,0.2511,74.9014,1.4609,0.002,2.1164,16762.71,10.0,1.0,10.0,1.8182
SVD rank 0002 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,2,True,1.6687,60308,161.7766,1.8775,0.2513,83.2583,1.4556,0.002,2.1295,19623.86,10.0,1.0,10.0,1.8182
SVD rank 0010 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,False,0.0,264380,36.903,1.8135,1.0296,83.8047,1.4731,0.0076,2.1485,16692.84,10.0,1.0004,10.0,1.8188
SVD rank 0010 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,10,True,1.5932,264380,36.903,1.8135,1.0298,84.8149,1.388,0.0076,2.1418,21019.14,12.54,14.7461,12.54,6.1944
SVD rank 0019 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,19,False,0.0,489172,19.9448,1.8183,1.8871,84.6621,1.4868,0.0138,2.0844,17981.75,10.0,1.0,10.0,1.8182
SVD rank 0019 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,19,True,1.5076,489172,19.9448,1.8183,1.8873,86.5298,1.4886,0.0138,2.1253,21290.17,55.38,63.3973,55.38,55.4443
SVD rank 0028 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,28,False,0.0,713236,13.6791,1.7672,2.7419,85.5166,1.4612,0.0192,2.1378,17786.77,18.32,29.4915,18.32,12.7855
SVD rank 0028 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,28,True,1.5349,713236,13.6791,1.7672,2.742,88.2388,1.4017,0.0192,2.1215,21405.13,68.75,71.3798,68.75,68.286
SVD rank 0043 [compressed],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,43,False,0.0,1086676,8.9782,1.7514,4.1664,86.9414,1.4866,0.0283,2.2381,17598.19,43.47,77.3098,43.47,41.5778
SVD rank 0043 [fine_tuned],SVD,features.0|features.4|features.8|features.11|features.15|features.18|features.22|features.25|classifier.0|classifier.3|classifier.6,43,True,1.5711,1086676,8.9782,1.7514,4.1666,91.0884,1.419,0.0283,2.127,21614.26,77.96,79.1978,77.96,78.089
