method,batch_size,peak_inference_memory_mb
Baseline,1,52.75732421875
Baseline,2,52.89404296875
Baseline,4,72.66650390625
Baseline,8,85.21337890625
Baseline,16,85.80712890625
Baseline,32,89.24462890625
Baseline,64,97.11962890625
Baseline,128,128.36962890625
SVD,1,13.7568359375
SVD,2,13.83447265625
SVD,4,13.990234375
SVD,8,14.7314453125
SVD,16,18.8251953125
SVD,32,27.0126953125
SVD,64,43.3876953125
SVD,128,76.1376953125
Tucker,1,10.17919921875
Tucker,2,10.69091796875
Tucker,4,11.71435546875
Tucker,8,13.76123046875
Tucker,16,17.85498046875
Tucker,32,26.04248046875
Tucker,64,42.41748046875
Tucker,128,75.16748046875
TT,1,28.68896484375
TT,2,28.73193359375
TT,4,45.9423828125
TT,8,58.4892578125
TT,16,59.0830078125
TT,32,62.5205078125
TT,64,71.2705078125
TT,128,92.4267578125
CP,1,10.13037109375
CP,2,10.64208984375
CP,4,11.66552734375
CP,8,13.71240234375
CP,16,17.80615234375
CP,32,25.99365234375
CP,64,42.36865234375
CP,128,75.11865234375
