experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,272474,1.0,0.0,1.0455,49.8682,1.5871,0.0416,2.1942,16101.08,92.12,92.1765,92.12,92.1321
SVD rank 0002 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,2,False,0.0,16948,16.0771,0.042,0.0709,43.7812,1.6275,0.0045,3.8218,13889.99,10.0,1.0,10.0,1.8182
SVD rank 0002 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,2,True,19.7323,16948,16.0771,0.042,0.0713,51.9946,1.554,0.0045,3.7638,14892.37,29.93,27.6586,29.93,24.5191
SVD rank 0005 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,5,False,0.0,36163,7.5346,0.0437,0.1442,53.4814,1.5783,0.0096,3.7414,13991.22,10.09,1.5853,10.09,2.3069
SVD rank 0005 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,5,True,20.7262,36163,7.5346,0.0437,0.1446,53.645,1.5709,0.0096,3.7437,14249.79,58.99,59.409,58.99,58.405
SVD rank 0007 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,7,False,0.0,48973,5.5638,0.0417,0.1931,55.0317,1.638,0.013,3.6867,13379.1,9.99,2.0132,9.99,3.3505
SVD rank 0007 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,7,True,21.0479,48973,5.5638,0.0417,0.1934,55.2393,1.5867,0.013,3.8391,14425.83,71.37,71.6602,71.37,71.3097
SVD rank 0010 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,10,False,0.0,68188,3.9959,0.0428,0.2664,56.1084,1.6041,0.0182,3.7641,13822.5,13.12,4.3013,13.12,5.8968
SVD rank 0010 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,10,True,21.5871,68188,3.9959,0.0428,0.2667,56.3921,1.636,0.0182,3.7693,14194.35,74.9,77.2521,74.9,74.6417
SVD rank 0012 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,12,False,0.0,80764,3.3737,0.0404,0.3144,57.1519,1.6181,0.0215,3.7729,13888.97,11.17,3.2173,11.17,4.2677
SVD rank 0012 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,12,True,22.9527,80764,3.3737,0.0404,0.3147,57.479,1.615,0.0215,3.7895,14517.5,79.6,80.1593,79.6,79.373
SVD rank 0015 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,15,False,0.0,98668,2.7615,0.0434,0.3827,58.2227,1.6424,0.0255,3.9332,13801.0,8.8,2.7957,8.8,3.5481
SVD rank 0015 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,15,True,21.5887,98668,2.7615,0.0434,0.383,58.6206,1.5983,0.0255,3.8383,14325.78,77.52,79.8404,77.52,77.6887
