experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,855770,1.0,0.0,3.2812,52.1885,1.7685,0.1279,5.4883,7468.1,94.25,94.2591,94.25,94.2457
SVD rank 0002 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer1.3.conv1|layer1.3.conv2|layer1.4.conv1|layer1.4.conv2|layer1.5.conv1|layer1.5.conv2|layer1.6.conv1|layer1.6.conv2|layer1.7.conv1|layer1.7.conv2|layer1.8.conv1|layer1.8.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer2.3.conv1|layer2.3.conv2|layer2.4.conv1|layer2.4.conv2|layer2.5.conv1|layer2.5.conv2|layer2.6.conv1|layer2.6.conv2|layer2.7.conv1|layer2.7.conv2|layer2.8.conv1|layer2.8.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|layer3.3.conv1|layer3.3.conv2|layer3.4.conv1|layer3.4.conv2|layer3.5.conv1|layer3.5.conv2|layer3.6.conv1|layer3.6.conv2|layer3.7.conv1|layer3.7.conv2|layer3.8.conv1|layer3.8.conv2|fc,2,False,0.0,46516,18.3973,0.1259,0.1945,44.0391,1.9796,0.0127,9.7454,5934.03,10.0,1.0021,10.0,1.8217
SVD rank 0002 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer1.3.conv1|layer1.3.conv2|layer1.4.conv1|layer1.4.conv2|layer1.5.conv1|layer1.5.conv2|layer1.6.conv1|layer1.6.conv2|layer1.7.conv1|layer1.7.conv2|layer1.8.conv1|layer1.8.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer2.3.conv1|layer2.3.conv2|layer2.4.conv1|layer2.4.conv2|layer2.5.conv1|layer2.5.conv2|layer2.6.conv1|layer2.6.conv2|layer2.7.conv1|layer2.7.conv2|layer2.8.conv1|layer2.8.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|layer3.3.conv1|layer3.3.conv2|layer3.4.conv1|layer3.4.conv2|layer3.5.conv1|layer3.5.conv2|layer3.6.conv1|layer3.6.conv2|layer3.7.conv1|layer3.7.conv2|layer3.8.conv1|layer3.8.conv2|fc,2,True,35.6639,46516,18.3973,0.1259,0.1954,52.4048,1.9687,0.0127,9.7618,6852.73,36.83,34.615,36.83,32.5326
SVD rank 0003 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer1.3.conv1|layer1.3.conv2|layer1.4.conv1|layer1.4.conv2|layer1.5.conv1|layer1.5.conv2|layer1.6.conv1|layer1.6.conv2|layer1.7.conv1|layer1.7.conv2|layer1.8.conv1|layer1.8.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer2.3.conv1|layer2.3.conv2|layer2.4.conv1|layer2.4.conv2|layer2.5.conv1|layer2.5.conv2|layer2.6.conv1|layer2.6.conv2|layer2.7.conv1|layer2.7.conv2|layer2.8.conv1|layer2.8.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|layer3.3.conv1|layer3.3.conv2|layer3.4.conv1|layer3.4.conv2|layer3.5.conv1|layer3.5.conv2|layer3.6.conv1|layer3.6.conv2|layer3.7.conv1|layer3.7.conv2|layer3.8.conv1|layer3.8.conv2|fc,3,False,0.0,66361,12.8957,0.128,0.2702,53.6167,1.9343,0.0179,10.0846,6219.44,10.0,1.0,10.0,1.8182
SVD rank 0003 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer1.3.conv1|layer1.3.conv2|layer1.4.conv1|layer1.4.conv2|layer1.5.conv1|layer1.5.conv2|layer1.6.conv1|layer1.6.conv2|layer1.7.conv1|layer1.7.conv2|layer1.8.conv1|layer1.8.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer2.3.conv1|layer2.3.conv2|layer2.4.conv1|layer2.4.conv2|layer2.5.conv1|layer2.5.conv2|layer2.6.conv1|layer2.6.conv2|layer2.7.conv1|layer2.7.conv2|layer2.8.conv1|layer2.8.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|layer3.3.conv1|layer3.3.conv2|layer3.4.conv1|layer3.4.conv2|layer3.5.conv1|layer3.5.conv2|layer3.6.conv1|layer3.6.conv2|layer3.7.conv1|layer3.7.conv2|layer3.8.conv1|layer3.8.conv2|fc,3,True,38.4112,66361,12.8957,0.128,0.2711,53.9351,2.1271,0.0179,9.8324,6716.56,53.29,55.4009,53.29,52.6183
SVD rank 0005 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer1.3.conv1|layer1.3.conv2|layer1.4.conv1|layer1.4.conv2|layer1.5.conv1|layer1.5.conv2|layer1.6.conv1|layer1.6.conv2|layer1.7.conv1|layer1.7.conv2|layer1.8.conv1|layer1.8.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer2.3.conv1|layer2.3.conv2|layer2.4.conv1|layer2.4.conv2|layer2.5.conv1|layer2.5.conv2|layer2.6.conv1|layer2.6.conv2|layer2.7.conv1|layer2.7.conv2|layer2.8.conv1|layer2.8.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|layer3.3.conv1|layer3.3.conv2|layer3.4.conv1|layer3.4.conv2|layer3.5.conv1|layer3.5.conv2|layer3.6.conv1|layer3.6.conv2|layer3.7.conv1|layer3.7.conv2|layer3.8.conv1|layer3.8.conv2|fc,5,False,0.0,106051,8.0694,0.1326,0.4216,53.8975,2.164,0.0282,10.6305,5665.4,10.0,1.0,10.0,1.8182
SVD rank 0005 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer1.3.conv1|layer1.3.conv2|layer1.4.conv1|layer1.4.conv2|layer1.5.conv1|layer1.5.conv2|layer1.6.conv1|layer1.6.conv2|layer1.7.conv1|layer1.7.conv2|layer1.8.conv1|layer1.8.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer2.3.conv1|layer2.3.conv2|layer2.4.conv1|layer2.4.conv2|layer2.5.conv1|layer2.5.conv2|layer2.6.conv1|layer2.6.conv2|layer2.7.conv1|layer2.7.conv2|layer2.8.conv1|layer2.8.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|layer3.3.conv1|layer3.3.conv2|layer3.4.conv1|layer3.4.conv2|layer3.5.conv1|layer3.5.conv2|layer3.6.conv1|layer3.6.conv2|layer3.7.conv1|layer3.7.conv2|layer3.8.conv1|layer3.8.conv2|fc,5,True,45.9551,106051,8.0694,0.1326,0.4225,54.3716,1.9466,0.0282,9.9463,5950.22,69.19,71.4063,69.19,69.26
SVD rank 0006 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer1.3.conv1|layer1.3.conv2|layer1.4.conv1|layer1.4.conv2|layer1.5.conv1|layer1.5.conv2|layer1.6.conv1|layer1.6.conv2|layer1.7.conv1|layer1.7.conv2|layer1.8.conv1|layer1.8.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer2.3.conv1|layer2.3.conv2|layer2.4.conv1|layer2.4.conv2|layer2.5.conv1|layer2.5.conv2|layer2.6.conv1|layer2.6.conv2|layer2.7.conv1|layer2.7.conv2|layer2.8.conv1|layer2.8.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|layer3.3.conv1|layer3.3.conv2|layer3.4.conv1|layer3.4.conv2|layer3.5.conv1|layer3.5.conv2|layer3.6.conv1|layer3.6.conv2|layer3.7.conv1|layer3.7.conv2|layer3.8.conv1|layer3.8.conv2|fc,6,False,0.0,125896,6.7974,0.1227,0.4974,55.4639,1.9418,0.0333,10.3051,6777.53,10.0,1.0,10.0,1.8182
SVD rank 0006 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer1.3.conv1|layer1.3.conv2|layer1.4.conv1|layer1.4.conv2|layer1.5.conv1|layer1.5.conv2|layer1.6.conv1|layer1.6.conv2|layer1.7.conv1|layer1.7.conv2|layer1.8.conv1|layer1.8.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer2.3.conv1|layer2.3.conv2|layer2.4.conv1|layer2.4.conv2|layer2.5.conv1|layer2.5.conv2|layer2.6.conv1|layer2.6.conv2|layer2.7.conv1|layer2.7.conv2|layer2.8.conv1|layer2.8.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|layer3.3.conv1|layer3.3.conv2|layer3.4.conv1|layer3.4.conv2|layer3.5.conv1|layer3.5.conv2|layer3.6.conv1|layer3.6.conv2|layer3.7.conv1|layer3.7.conv2|layer3.8.conv1|layer3.8.conv2|fc,6,True,47.3132,125896,6.7974,0.1227,0.4982,55.998,1.985,0.0333,10.2492,6711.59,71.79,74.2798,71.79,70.635
SVD rank 0008 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer1.3.conv1|layer1.3.conv2|layer1.4.conv1|layer1.4.conv2|layer1.5.conv1|layer1.5.conv2|layer1.6.conv1|layer1.6.conv2|layer1.7.conv1|layer1.7.conv2|layer1.8.conv1|layer1.8.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer2.3.conv1|layer2.3.conv2|layer2.4.conv1|layer2.4.conv2|layer2.5.conv1|layer2.5.conv2|layer2.6.conv1|layer2.6.conv2|layer2.7.conv1|layer2.7.conv2|layer2.8.conv1|layer2.8.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|layer3.3.conv1|layer3.3.conv2|layer3.4.conv1|layer3.4.conv2|layer3.5.conv1|layer3.5.conv2|layer3.6.conv1|layer3.6.conv2|layer3.7.conv1|layer3.7.conv2|layer3.8.conv1|layer3.8.conv2|fc,8,False,0.0,165586,5.1681,0.1225,0.6488,55.6016,1.9764,0.0436,10.0549,7050.51,16.69,8.7055,16.69,9.668
SVD rank 0008 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer1.3.conv1|layer1.3.conv2|layer1.4.conv1|layer1.4.conv2|layer1.5.conv1|layer1.5.conv2|layer1.6.conv1|layer1.6.conv2|layer1.7.conv1|layer1.7.conv2|layer1.8.conv1|layer1.8.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer2.3.conv1|layer2.3.conv2|layer2.4.conv1|layer2.4.conv2|layer2.5.conv1|layer2.5.conv2|layer2.6.conv1|layer2.6.conv2|layer2.7.conv1|layer2.7.conv2|layer2.8.conv1|layer2.8.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|layer3.3.conv1|layer3.3.conv2|layer3.4.conv1|layer3.4.conv2|layer3.5.conv1|layer3.5.conv2|layer3.6.conv1|layer3.6.conv2|layer3.7.conv1|layer3.7.conv2|layer3.8.conv1|layer3.8.conv2|fc,8,True,49.9766,165586,5.1681,0.1225,0.6496,56.2734,2.0772,0.0436,10.0678,6281.36,80.89,81.2615,80.89,80.6974
