experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_phase,fine_tuning_epochs,fine_tuning_learning_rate,fine_tuning_time_s,fine_tuning_early_stopping,fine_tuning_patience,fine_tuning_min_improvement,fine_tuning_monitor,fine_tuning_best_epoch,fine_tuning_stopped_early,fine_tuning_last_val_loss,fine_tuning_last_val_accuracy,total_parameters,compression_ratio,compression_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,baseline,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,9756426,1.0,0.0,0.1539,2.1843,12695.58,92.79,92.7973,92.79,92.784
CP_GD rank 002 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",2,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,548784,17.7783,66.9166,0.0016,2.0957,16139.59,10.0,1.0,10.0,1.8182
CP_GD rank 002 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",2,True,fine_tuned,4,0.0001,3.9245,True,1,0.5,val_accuracy,1,1,2.303791,10.0,548784,17.7783,66.5225,0.0016,2.1204,17022.0,9.92,1.11,9.92,1.8352
CP_GD rank 004 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",4,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,558870,17.4574,67.6072,0.002,2.3488,13942.75,10.0,1.0,10.0,1.8182
CP_GD rank 004 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",4,True,fine_tuned,4,0.0001,4.0325,True,1,0.5,val_accuracy,1,1,2.3015,10.5078,558870,17.4574,67.4602,0.002,2.3725,15377.78,10.85,6.0634,10.85,4.2327
CP_GD rank 006 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",6,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,568956,17.1479,67.4356,0.0025,2.3362,14391.64,10.0,1.0,10.0,1.8182
CP_GD rank 006 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",6,True,fine_tuned,4,0.0001,5.7875,True,1,0.5,val_accuracy,2,1,2.160108,18.0859,568956,17.1479,67.2406,0.0025,2.3508,15331.2,18.18,21.4659,18.18,12.3309
CP_GD rank 008 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",8,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,579042,16.8493,67.7029,0.0029,2.5164,14067.7,8.46,1.665,8.46,2.7786
CP_GD rank 008 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",8,True,fine_tuned,4,0.0001,7.954,True,1,0.5,val_accuracy,4,0,1.924695,27.6953,579042,16.8493,68.6453,0.0029,2.448,15050.74,28.0,27.6193,28.0,24.4642
CP_GD rank 010 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",10,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,589128,16.5608,67.6178,0.0033,2.3437,14735.62,10.0,1.0,10.0,1.8182
CP_GD rank 010 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",10,True,fine_tuned,4,0.0001,7.6894,True,1,0.5,val_accuracy,4,0,1.740185,34.375,589128,16.5608,67.3067,0.0033,3.0318,15122.47,35.73,34.7737,35.73,33.1055
CP_GD rank 012 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",12,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,599214,16.282,67.1399,0.0038,2.3705,13049.25,10.0,1.0,10.0,1.8182
CP_GD rank 012 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",12,True,fine_tuned,4,0.0001,7.8662,True,1,0.5,val_accuracy,4,0,1.4849,45.1562,599214,16.282,67.0747,0.0038,2.3595,15795.18,46.53,46.3481,46.53,45.7696
CP_GD rank 014 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",14,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,609300,16.0125,67.6674,0.0042,2.3519,14158.75,10.02,6.713,10.02,1.8951
